[ 2025-03-31 13:40:08,977] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-03-31 13:40:08,977] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-31 13:40:11,650] 17 root - INFO - Initiate data ingestion
[ 2025-03-31 13:40:12,962] 57 root - INFO - Performed train test split on the dataframe
[ 2025-03-31 13:40:12,962] 59 root - INFO - Exited split data as train_test method  of Data Ingestion
[ 2025-03-31 13:40:12,962] 64 root - INFO - Exporting train and test file path.
[ 2025-03-31 13:40:13,005] 73 root - INFO - Exported train and test file path.
[ 2025-03-31 13:40:13,006] 19 root - INFO - Data Initiation completed
[ 2025-03-31 13:40:13,019] 24 root - INFO - Initaite data validation
[ 2025-03-31 13:40:13,057] 31 root - INFO - Required number of columns: 2
[ 2025-03-31 13:40:13,057] 32 root - INFO - Dataframe has columns: 31
[ 2025-03-31 13:40:13,057] 31 root - INFO - Required number of columns: 2
[ 2025-03-31 13:40:13,057] 32 root - INFO - Dataframe has columns: 31
[ 2025-03-31 13:40:13,161] 26 root - INFO - Data Validation completed
[ 2025-03-31 13:40:13,162] 30 root - INFO - Data Transformation started
[ 2025-03-31 13:40:13,162] 53 root - INFO - Entered initaite_data_transformation method of DataTransformation class
[ 2025-03-31 13:40:13,162] 55 root - INFO - Starting data transformation
[ 2025-03-31 13:40:13,179] 42 root - INFO - Entered get_data_transformer_obj method of DataTransformation class
[ 2025-03-31 13:40:13,179] 45 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-31 13:40:13,190] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-31 13:40:13,192] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-31 13:40:13,193] 33 root - INFO - data transformation completed
[ 2025-03-31 13:40:13,193] 36 root - INFO - Model Training started
[ 2025-03-31 13:42:58,682] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-31 13:42:58,682] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-31 13:42:58,682] 92 root - INFO - Model Trainer Artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_31_2025_13_40_09\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912112334579251, precision_score=0.9891129032258065, recall_score=0.9933184855233853), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9747557003257329, precision_score=0.9668820678513732, recall_score=0.9827586206896551))
[ 2025-03-31 13:42:58,684] 40 root - INFO - Model Training artifact created
